year,input_rows,duplicate_person_key_rows,bad_weight_rows,bad_household_size_rows,missing_money_income_rows,missing_realized_capital_gains_rows,missing_noncash_benefits_rows,missing_health_insurance_value_rows,missing_federal_income_taxes_rows,missing_payroll_taxes_rows,missing_state_local_income_taxes_rows,population_rows,estimation_rows,estimation_rows_pct,variant
1991,155796,0,9,0,0,36245,0,0,36245,36245,36245,155796,119542,76.73,all_without_capital_gains_without_health_insurance
1992,155197,0,0,0,0,36433,0,0,36433,36433,36433,155197,118764,76.52,all_without_capital_gains_without_health_insurance
1993,150943,0,0,0,0,35949,0,0,35949,35949,35949,150943,114994,76.18,all_without_capital_gains_without_health_insurance
1994,149642,0,0,0,0,35241,0,0,35241,35241,35241,149642,114401,76.45,all_without_capital_gains_without_health_insurance
1995,130476,0,0,0,0,30805,0,0,30805,30805,30805,130476,99671,76.39,all_without_capital_gains_without_health_insurance
1996,131854,0,0,0,0,30625,0,0,30625,30625,30625,131854,101229,76.77,all_without_capital_gains_without_health_insurance
1997,131617,0,18,0,0,30596,0,0,30596,30596,30596,131617,101007,76.74,all_without_capital_gains_without_health_insurance
1998,132324,0,15,0,0,30631,0,0,30631,30631,30631,132324,101683,76.84,all_without_capital_gains_without_health_insurance
1999,133710,0,0,0,0,30484,0,0,30484,30484,30484,133710,103226,77.2,all_without_capital_gains_without_health_insurance
2000,218269,0,0,0,0,56607,0,0,56607,56607,56607,218269,161662,74.07,all_without_capital_gains_without_health_insurance
2001,217219,0,0,0,0,55807,0,0,55807,55807,55807,217219,161412,74.31,all_without_capital_gains_without_health_insurance
2002,216424,0,0,0,0,55154,0,0,55154,55154,55154,216424,161270,74.52,all_without_capital_gains_without_health_insurance
2003,213241,0,0,0,0,53623,0,0,53623,53623,53623,213241,159618,74.85,all_without_capital_gains_without_health_insurance
2004,210648,0,0,0,0,52844,0,0,52844,52844,52844,210648,157804,74.91,all_without_capital_gains_without_health_insurance
2005,208562,0,0,0,0,51448,0,0,51448,51448,51448,208562,157114,75.33,all_without_capital_gains_without_health_insurance
2006,206639,0,0,0,0,50685,0,0,50685,50685,50685,206639,155954,75.47,all_without_capital_gains_without_health_insurance
2007,206404,0,0,0,0,49771,0,0,49767,49771,49768,206404,156633,75.89,all_without_capital_gains_without_health_insurance
2008,207921,0,0,0,0,207921,0,0,49868,49873,49870,207921,158048,76.01,all_without_capital_gains_without_health_insurance
2009,209802,0,0,0,0,209802,0,0,50189,50193,50190,209802,159609,76.08,all_without_capital_gains_without_health_insurance
2010,204983,0,0,0,0,204983,0,0,48131,48134,48130,204983,156849,76.52,all_without_capital_gains_without_health_insurance
2011,201398,0,0,0,0,201398,0,0,46751,46751,46751,201398,154647,76.79,all_without_capital_gains_without_health_insurance
2012,202634,0,0,0,0,202634,0,0,46883,46883,46883,202634,155751,76.86,all_without_capital_gains_without_health_insurance
2013,199556,0,0,0,0,199556,0,0,45558,45558,45558,199556,153998,77.17,all_without_capital_gains_without_health_insurance
2014,199024,0,0,0,0,199024,0,0,45103,45103,45103,199024,153921,77.34,all_without_capital_gains_without_health_insurance
2015,185487,0,0,0,0,185487,0,0,41861,41861,41861,185487,143626,77.43,all_without_capital_gains_without_health_insurance
2016,185914,0,0,0,0,185914,0,0,41274,41274,41274,185914,144640,77.8,all_without_capital_gains_without_health_insurance
2017,180084,0,0,0,0,180084,0,0,39522,39522,39522,180084,140562,78.05,all_without_capital_gains_without_health_insurance
2018,180101,0,0,0,0,180101,0,0,38850,38850,38850,180101,141251,78.43,all_without_capital_gains_without_health_insurance
2019,157959,0,0,0,0,157959,0,0,33153,33153,33153,157959,124806,79.01,all_without_capital_gains_without_health_insurance
2020,163543,0,0,0,0,163543,0,0,34433,34433,0,163543,129110,78.95,all_without_capital_gains_without_health_insurance
2021,152732,0,0,0,0,152732,0,0,31613,31613,0,152732,121119,79.3,all_without_capital_gains_without_health_insurance
2022,146133,0,0,0,0,146133,0,0,29483,29483,0,146133,116650,79.82,all_without_capital_gains_without_health_insurance
2023,144265,0,0,0,0,144265,0,0,28429,28429,0,144265,115836,80.29,all_without_capital_gains_without_health_insurance
2024,142125,0,0,0,0,142125,0,0,27679,27679,0,142125,114446,80.52,all_without_capital_gains_without_health_insurance
