year,value,series_id,series,source,notes
1974,28720,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1975,28140,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1976,28210,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1977,28390,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1978,28160,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1979,27380,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1980,27010,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1981,26480,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1982,26750,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1983,27300,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1984,28080,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1985,28700,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1986,29610,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1987,30030,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1988,30940,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1989,31750,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1990,31430,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1991,30970,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1992,30650,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1993,30960,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1994,31310,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1995,32180,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1996,32870,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1997,34320,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1998,36020,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1999,36410,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2000,36790,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2001,36680,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2002,36530,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2003,36680,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2004,36640,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2005,37310,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2006,38450,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2007,38700,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2008,37170,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2009,36790,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2010,36340,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2011,35810,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2012,35660,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2013,36130,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2014,37010,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2015,38950,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2016,39700,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2017,40100,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2018,41460,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2019,43600,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2020,43010,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2021,43080,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2022,43150,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2023,43310,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2024,45140,MEPAINUSA672N,Real median personal income,FRED/Census MEPAINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
